No,Judul Buku,Penyusun/Pengarang,Penerbit,Jenis Buku,Jumlah,Sumber
1,Dasar-Dasar Pemrograman Python,Tim Pengajar SMK,Erlangga,Pemrograman,20,BOS
2,Algoritma dan Struktur Data,Dr. Rinaldi Munir,Informatika,Pemrograman,15,Dana BOS
3,Pemrograman Web dengan HTML dan CSS,Jubilee Enterprise,Elex Media,Pemrograman,18,BOS
4,JavaScript untuk Pemula,Miftahul Huda,Andi Offset,Pemrograman,12,Dana BOS
5,Basis Data dan SQL Praktis,Prof. Budi Raharjo,Informatika,Teknologi,15,BOS
6,Jaringan Komputer Dasar,Forouzan & Fegan,Erlangga,Teknologi,10,Dana BOS
7,Sistem Operasi Modern,Andrew Tanenbaum,Andi Offset,Teknologi,8,BOS
8,Keamanan Sistem Informasi,Dr. Charles Pfleeger,Gramedia,Teknologi,10,Donasi
9,Kecerdasan Buatan dan Machine Learning,Tom Mitchell,Erlangga,Teknologi,12,BOS
10,Desain Grafis dengan CorelDRAW,Wahana Komputer,Andi Offset,Teknologi,14,Dana BOS
11,Laskar Pelangi,Andrea Hirata,Bentang Pustaka,Novel,25,BOS
12,Bumi Manusia,Pramoedya Ananta Toer,Lentera Dipantara,Novel,20,Dana BOS
13,Negeri 5 Menara,Ahmad Fuadi,Gramedia,Novel,22,BOS
14,Ayat-Ayat Cinta,Habiburrahman El Shirazy,Republika,Novel,18,Donasi
15,Sang Pemimpi,Andrea Hirata,Bentang Pustaka,Novel,20,BOS
16,5 Cm,Donny Dhirgantoro,Gramedia,Novel,15,Dana BOS
17,Matematika SMA Kelas X,Dr. Sukino,Erlangga,Pendidikan,30,BOS
18,Fisika Dasar untuk SMA,Marthen Kanginan,Erlangga,Pendidikan,28,BOS
19,Kimia Organik Dasar,Dr. Fessenden,Erlangga,Pendidikan,20,Dana BOS
20,Biologi untuk SMA Kelas XI,D.A. Pratiwi,Erlangga,Pendidikan,25,BOS
21,Bahasa Indonesia yang Baik dan Benar,Prof. Hasan Alwi,Balai Pustaka,Pendidikan,20,BOS
22,Sejarah Kebudayaan Islam,Drs. Samsul Munir,Amzah,Agama,15,Dana BOS
23,Fiqih Ibadah Lengkap,Sayyid Sabiq,Media Hidayah,Agama,12,Donasi
24,Al-Quran dan Tafsirnya,Kemenag RI,Lentera Abadi,Agama,10,BOS
25,Pendidikan Agama Islam Kelas XII,Dr. Zakiyah Daradjat,Bumi Aksara,Agama,18,BOS
26,Sejarah Indonesia Modern,M.C. Ricklefs,Gramedia,Sejarah,15,Dana BOS
27,Perang Dunia II,H.P. Willmott,Erlangga,Sejarah,10,Donasi
28,Sejarah Peradaban Dunia,William McNeill,Gramedia,Sejarah,12,BOS
29,7 Kebiasaan Manusia yang Sangat Efektif,Stephen Covey,Binarupa Aksara,Motivasi,20,Dana BOS
30,Atomic Habits,James Clear,Gramedia,Motivasi,18,BOS
