BUKU INVENTARISASI PERPUSTAKAAN SEKOLAH;;;;;;;;;;;;;
;;;;;;;;;;;;;
Nomor;;Judul Buku;Penyusun/;Penerbit;Tahun Terbit;Jenis Buku;;;Sumber Buku;;;Tanggal Beli/;
Urut;Anggota;;Pengarang;;;Fiksi;Non Fiksi;Banyak Buku;BOS;DAK;Lainnya;Terima;Keterangan 
1;;Dasar Desain Grafis kelas X;;Erlangga ;;;ü;20;ü;;;;
2;;Pemrograman Dasar kelas X;;Erlangga ;;;ü;20;ü;;;;
3;;Komputer dan Jaringan Dasar kelas X;;Erlangga ;;;ü;20;ü;;;;
4;;Sistem Komputer kelas X;;Erlangga ;;;ü;20;ü;;;;
5;;Teknologi Layanan Jaringan kelas XII;M. Rizal ;Bumi Aksara;;;ü;20;ü;;;;
6;;Pekerjaan Dasar Tehnik Otomotif ;;;;;ü;20;ü;;;;
7;;Pemeliaraan Mesin Kendaraan Ringan kelas XII;;;;;ü;20;ü;;;;
8;;Pemeliharaan Sasis Sepeda Motor kelas XII;;;;;ü;20;ü;;;;
9;;Pemeliharaan Sasis Sepeda Motor kelas XI;;;;;ü;20;ü;;;;
10;;Pemeliaraan Mesin Kendaraan Ringan kelas XI;;;;;ü;20;ü;;;;
11;;Teknologi Dasar Otomotif kelas X;;;;;ü;20;ü;;;;
12;;Gambar Teknik Otomotif kelas X;;Erlangga;;;ü;20;ü;;;;
13;;Teknologi Layanan Jaringan kelas XI;;;;;ü;20;ü;;;;
14;;Teknologi Jaringan Berbasis Luas (WAN) kelas XI;;;;;ü;20;ü;;;;
15;;Administrasi Infrastuktur Jaringan kelas XII ;Andi Novianto;Erlangga;;;ü;20;ü;;;;
16;;Administrasi Infrastuktur Jaringan kelas XI;Andi Novianto;Erlangga;;;ü;20;ü;;;;
17;;Administrasi Sistem dan Jaringan kelas XII;Andi Novianto;Erlangga;;;ü;20;ü;;;;
18;;Administrasi Sistem dan Jaringan kelas XI;Andi Novianto;Erlangga;;;ü;20;ü;;;;
19;;Spreeadsheet Kelas X;;Erlangga;;;ü;20;ü;;;;
20;;Bahasa Indonesia Kelas XI;Pipit Dwi Komariah;Erlangga;;;ü;15;ü;;;;
21;;Bahasa Indonesia Kelas X;Pipit Dwi Komariah;Erlangga ;;;ü;15;ü;;;;
22;;Sejarah Indoesia kelas X;Ratna Hapsari;Erlangga ;;;ü;20;ü;;;;
23;;Informatika Bismen kelas X Kumer;Andi Novianto;Erlangga ;;;ü;10;ü;;;;
24;;Informatika Teknologi kelas X;Andi Novianto;Erlangga ;;;ü;10;ü;;;;
25;;IPAS Bismen kelas X Kumer;Berti Sagendra ;Erlangga ;;;ü;10;ü;;;;
26;;IPAS Teknologi kelas X Kumer;Berti Sagendra ;Erlangga;;;ü;10;ü;;;;
27;;Matematika kelas X Kumer;Arif Ediyanto;Erlangga ;;;ü;13;ü;;;;
28;;Bahasa Indonesia kelas X Kumer;Pipit Dwi Komariah;Erlangga ;;;ü;10;ü;;;;
29;;Pendidikan Agama Islam kelas X Kumer;H.A Sholeh Dimyathi, dkk;Erlangga;;;ü;10;ü;;;;
30;;Sejarah kelas X Kumer;Ratna Hapsari;Erlangga ;;;ü;10;ü;;;;
31;;Pendidikan Pancasila kelas X Kumer;Yusuf Kardiman ;Erlangga ;;;ü;10;ü;;;;
32;;SPLASH (Bahasa Inggris) kelas X Kumer;;Erlangga;;;ü;15;ü;;;;
33;;PKWU Kelas XI;wulan Ayodya;Erlangga;;;ü;20;ü;;;;
34;;PKWU Kelas XII;wulan Ayodya;Erlangga ;;;ü;20;ü;;;;
35;;Bisnis Online kelas XI;Fatkhul A. ;Erlangga ;;;ü;20;ü;;;;
36;;Marketing kelas X;;Erlangga;;;ü;20;ü;;;;
37;;Otomatisasi Tata Kelola Sarana dan Prasarana Kelas XI;Dwi Harti, dkk;Erlangga ;;;ü;20;ü;;;;
38;;Otomatisasi Tata Kelola Keuangan XI;Sri Mulyani;Erlangga;;;ü;20;ü;;;;
39;;Teknologi Perkantoran Kelas X;;;;;ü;20;ü;;;;
40;;Perbankan Dasar Kelas X;;Erlangga;;;ü;20;ü;;;;
41;;Praktikum Akuntansi Lembaga Pemerintah Kelas XII;Ade Firdaus ;Erlangga ;;;ü;20;ü;;;;
42;;Komputer Akuntansi Pada Perusahaan Jasa dengan MYOB Kelas XII;;;;;ü;20;ü;;;;
43;;Administrasi Pajak Kelas XI;;;;;ü;20;ü;;;;
44;;Pemeliharaan Kelistrikan Sepeda Motor kelas XII;;;;;ü;20;ü;;;;
45;;Desain Grafis Percetakan kelas XI;;;;;ü;20;ü;;;;
46;;Pemeliharaan Kelistrikan Sepeda Motor kelas XI;;;;;ü;20;ü;;;;
47;;Dasar Desain Grafis kelas X;;;;;ü;20;ü;;;;
48;;SPLASH (B.Inggris) kelas X KUMER;;;;;ü;90;ü;;;;
49;;Bahasa Indonesia kelas X kumer;;;;;ü;90;ü;;;;
50;;PPKN kelas X kumer;;;;;ü;90;ü;;;;
51;;Pendidikan Agama Islam kelas X Kumer;;;;;ü;90;ü;;;;
52;;Sejarah kelas X Kumer;;;;;ü;90;ü;;;;
53;;PAK Kelas XII;;;;;ü;30;ü;;;;
54;;PAK Kelas XI;;;;;ü;30;ü;;;;
55;;PAK Kelas X;;;;;ü;30;ü;;;;
56;;Matematika kelas X  ;;;;;ü;90;ü;;;;
